"","DIGNIDAD_CODIGO","OP_CODIGO","CANDIDATO_CODIGO","CANDIDATO_ORDEN","CANDIDATO_PROVINCIA_CODIGO","CANDIDATO_CANTON_CODIGO","CANDIDATO_PARROQUIA_CODIGO","CANDIDATO_NOMBRE","CANDIDATO_SEXO","CANDIDATO_EDAD_EXACTA","CANDIDATO_GRUPOS_DE_EDAD","SUPLENTE_NOMBRE.1","SUPLENTE_SEXO.1","SUPLENTE_EDAD_EXACTA.1","SUPLENTE_GRUPO_DE_EDAD.1","SUPLENTE_NOMBRE.2","SUPLENTE_SEXO.2","SUPLENTE_EDAD_EXACTA.2","SUPLENTE_GRUPO_DE_EDAD.2"
"6855",5,16008,5168810000016,2,16,881,0,"LOPEZ GREFA MARTHA CECILIA                                                                          ","MUJERES",35.213698630137,"DE 30 A MENOS DE 45 AÑOS","SAANT MASHU CARLOS                                                                                  ","HOMBRES",45.9453551912568,"DE 45 A MENOS DE 65 AÑOS","                                                                                                    ",NA,NA,NA
"6856",5,6,5093900000039,4,9,390,0,"ROBALINO RODRIGUEZ GUILLERMO ELOY                                                                   ","HOMBRES",36.9616438356164,"DE 30 A MENOS DE 45 AÑOS","SAAVEDRA ESPANA JAQUELINE DEL ROCIO                                                                 ","MUJERES",37.7506849315068,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"6857",5,6,5135000000013,1,13,500,0,"MOREIRA ZAMBRANO LIMBER REINALDO                                                                    ","HOMBRES",36.9150684931507,"DE 30 A MENOS DE 45 AÑOS","SAAVEDRA RODRIGUEZ VERNI HERNAN                                                                     ","HOMBRES",38.1912568306011,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"6858",5,4,5134400000021,3,13,440,0,"CEDEÑO BRAVO FABRICIO ALBERTO                                                                      ","HOMBRES",34.6584699453552,"DE 30 A MENOS DE 45 AÑOS","SABANDO CORDOVA KAREN GHISLAYNE                                                                     ","MUJERES",23.9643835616438,"MENORES DE 30 AÑOS","                                                                                                    ",NA,NA,NA
"6859",5,6,5085700000014,2,8,570,0,"MONTAÑO ORTIZ MARIO                                                                                ","HOMBRES",56.386301369863,"DE 45 A MENOS DE 65 AÑOS","SABANDO PATRON LAUTON MIGUEL                                                                        ","HOMBRES",54.5710382513661,"DE 45 A MENOS DE 65 AÑOS","                                                                                                    ",NA,NA,NA
"6860",5,1,5134400000009,3,13,440,0,"PONCE VELEZ CRUZ MARIA                                                                              ","MUJERES",42.4234972677596,"DE 30 A MENOS DE 45 AÑOS","SABANDO PISCO CARLOS ENRIQUE                                                                        ","HOMBRES",30.6256830601093,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"6861",5,1,5226450000004,1,22,645,0,"CAICEDO DEL CASTILLO MARIA DELFINA                                                                  ","MUJERES",57.8360655737705,"DE 45 A MENOS DE 65 AÑOS","SACANCELA COLLAGUAZO JESUS                                                                          ","MUJERES",33.772602739726,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"6862",3,9,3090000000057,3,9,0,0,"ROBALINO CAMPO SASKIA LIZANA                                                                        ","MUJERES",37.5698630136986,"DE 30 A MENOS DE 45 AÑOS","SACON BRIONES CARMEN ROSA                                                                           ","MUJERES",39.0904109589041,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"6863",5,51,5012600000057,1,1,260,0,"MOSCOSO SERRANO MIGUEL RAMIRO                                                                       ","HOMBRES",49.4958904109589,"DE 45 A MENOS DE 65 AÑOS","SACOTO GARCIA PAUL ESTEBAN                                                                          ","HOMBRES",43.0849315068493,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"6864",1,10,1000000000009,1,0,0,0,"MACAS AMBULUDI LUIS ALBERTO                                                                         ","HOMBRES",56.3671232876712,"DE 45 A MENOS DE 65 AÑOS","SACOTO GUZMAN CESAR AUGUSTO                                                                         ","HOMBRES",69.5835616438356,"DE 65 AÑOS Y MÁS","                                                                                                    ",NA,NA,NA
"6865",5,5,5093950000013,1,9,395,0,"SANCHEZ MENDOZA RAUL FRANCISCO                                                                      ","HOMBRES",38.0273224043716,"DE 30 A MENOS DE 45 AÑOS","SACTA LOJANO MILTON YOVANNY                                                                         ","HOMBRES",32.6849315068493,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"6866",5,14010,5146050000011,1,14,605,0,"SARMIENTO JARA NUBE CARLOTA                                                                         ","MUJERES",38.0163934426229,"DE 30 A MENOS DE 45 AÑOS","SAGAL ABAD ZARA SENAIDA                                                                             ","MUJERES",25.7123287671233,"MENORES DE 30 AÑOS","                                                                                                    ",NA,NA,NA
"6867",5,10,5062050000026,2,6,205,0,"YUMBILLO ASACATA DAMIAN                                                                             ","HOMBRES",35.213698630137,"DE 30 A MENOS DE 45 AÑOS","SAGÑAY AUCANCELA DELIA MARIA                                                                       ","MUJERES",28.8712328767123,"MENORES DE 30 AÑOS","                                                                                                    ",NA,NA,NA
"6868",5,6006,5062050000035,2,6,205,0,"SIGCHO MOCHA ARMANDO CARLOS                                                                         ","HOMBRES",42.0382513661202,"DE 30 A MENOS DE 45 AÑOS","SAGÑAY SAGÑAY FRANCISCO                                                                           ","HOMBRES",46.4289617486339,"DE 45 A MENOS DE 65 AÑOS","                                                                                                    ",NA,NA,NA
"6869",5,18014,5181350000049,1,18,135,0,"MORETA MATZABALIN JOSE ELIAS                                                                        ","HOMBRES",38.724043715847,"DE 30 A MENOS DE 45 AÑOS","SAILEMA SAILEMA MIGUEL ANGEL                                                                        ","HOMBRES",55.8191780821918,"DE 45 A MENOS DE 65 AÑOS","                                                                                                    ",NA,NA,NA
"6870",5,1,5061950000009,4,6,195,0,"CAYAMBE USCA LUIS ALFONSO                                                                           ","HOMBRES",44.841095890411,"DE 30 A MENOS DE 45 AÑOS","SAITEROS GUAMAN ELIDA MIREDLY                                                                       ","MUJERES",29.0904109589041,"MENORES DE 30 AÑOS","                                                                                                    ",NA,NA,NA
"6871",3,62,3010000000050,2,1,0,0,"ULLOA CABRERA JESUS VICENTE                                                                         ","HOMBRES",49.241095890411,"DE 45 A MENOS DE 65 AÑOS","SALAMEA CARDENAS MARIA ANGELITA                                                                     ","MUJERES",43.4328767123288,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"6872",3,51,3010000000034,2,1,0,0,"SOLANO CORREA RUTH MAGDALENA                                                                        ","MUJERES",48.8575342465753,"DE 45 A MENOS DE 65 AÑOS","SALAMEA PIEDRA BETTY PATRICIA                                                                       ","MUJERES",47.7013698630137,"DE 45 A MENOS DE 65 AÑOS","                                                                                                    ",NA,NA,NA
"6873",5,4,5012600000020,6,1,260,0,"CUEVA CRESPO JOSE LUIS                                                                              ","HOMBRES",25.5205479452055,"MENORES DE 30 AÑOS","SALAMEA RAMIREZ CARLOS EDUARDO                                                                      ","HOMBRES",51.9506849315068,"DE 45 A MENOS DE 65 AÑOS","                                                                                                    ",NA,NA,NA
"6874",5,51,5061950000053,3,6,195,0,"PAREDES PAREDES LUZ NARCISA                                                                         ","MUJERES",25.4027397260274,"MENORES DE 30 AÑOS","SALAO CANDO CARLOS ENRIQUE                                                                          ","HOMBRES",32.9232876712329,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"6875",5,5,5208000000011,2,20,800,0,"CASTILLO GARCIA RICARDO                                                                             ","HOMBRES",44.9835616438356,"DE 30 A MENOS DE 45 AÑOS","SALAS GUERRA LUCAS RAFAEL                                                                           ","HOMBRES",51.8712328767123,"DE 45 A MENOS DE 65 AÑOS","                                                                                                    ",NA,NA,NA
"6876",5,71,5100550000013,1,10,55,0,"GALLEGOS ESPINOZA ROSENDO MIGUEL                                                                    ","HOMBRES",41.5342465753425,"DE 30 A MENOS DE 45 AÑOS","SALAS RIVERA SEGUNDO MARCO TEODOMIRO                                                                ","HOMBRES",43.1260273972603,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"6877",5,71,5100300000034,4,10,30,0,"JARAMILLO ALBAN NORA CRISTINA                                                                       ","MUJERES",37.358904109589,"DE 30 A MENOS DE 45 AÑOS","SALAS SUBIA LUIS ARMANDO                                                                            ","HOMBRES",36.841095890411,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"6878",5,6,5129460000018,3,12,946,0,"SALAVARRIA COELLO STALIN JACINTO                                                                    ","HOMBRES",30.9452054794521,"DE 30 A MENOS DE 45 AÑOS","SALAVARRIA COELLO ISIDRO VICENTE                                                                    ","HOMBRES",41.4493150684931,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"6879",5,9002,5098900000036,3,9,890,0,"ALDAZ ALDAZ JOSE BOLIVAR                                                                            ","HOMBRES",45.0328767123288,"DE 45 A MENOS DE 65 AÑOS","SALAVARRIA HUACON CARLOS ANTONIO                                                                    ","HOMBRES",46.7868852459016,"DE 45 A MENOS DE 65 AÑOS","                                                                                                    ",NA,NA,NA
"6880",5,5,5132300000011,2,13,230,0,"SOLORZANO LOOR ELITA AZUCENA                                                                        ","MUJERES",33.3232876712329,"DE 30 A MENOS DE 45 AÑOS","SALAVARRIA ROSERO SANDRA ELISABETH                                                                  ","MUJERES",49.6904109589041,"DE 45 A MENOS DE 65 AÑOS","                                                                                                    ",NA,NA,NA
"6881",7,1,7170000000018,4,17,0,0,"FONSECA ORDONEZ LENIN MARINO                                                                        ","HOMBRES",49.9754098360656,"DE 45 A MENOS DE 65 AÑOS","SALAZAR ALAVA PABLO EFRAIN                                                                          ","HOMBRES",35.1369863013699,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
"6882",5,6,5021650000017,1,2,165,0,"MELENDEZ GRANJA ALFONSO FARID                                                                       ","HOMBRES",41.3260273972603,"DE 30 A MENOS DE 45 AÑOS","SALAZAR ALDAS LAURA CECILIA                                                                         ","MUJERES",27.5068493150685,"MENORES DE 30 AÑOS","                                                                                                    ",NA,NA,NA
"6883",5,10,5094000000034,2,9,400,0,"SANCHEZ ROMERO LEYDA JOHANNA                                                                        ","MUJERES",21.2931506849315,"MENORES DE 30 AÑOS","SALAZAR ALVARADO DEYSI EDITH                                                                        ","MUJERES",28.0027397260274,"MENORES DE 30 AÑOS","                                                                                                    ",NA,NA,NA
"6884",7,48,7090000000002,2,9,0,0,"JARAMILLO ZAMBRANO ROCIO DEL CARMEN                                                                 ","MUJERES",43.5616438356164,"DE 30 A MENOS DE 45 AÑOS","SALAZAR ALVAREZ JOSE MARIA                                                                          ","HOMBRES",51.4520547945205,"DE 45 A MENOS DE 65 AÑOS","                                                                                                    ",NA,NA,NA
"6885",7,6,7090000000096,6,9,0,0,"PELLACINI YEPEZ ANDRES ALBERTO                                                                      ","HOMBRES",32.3972602739726,"DE 30 A MENOS DE 45 AÑOS","SALAZAR BAQUE PEDRO CARRENO                                                                         ","HOMBRES",55.786301369863,"DE 45 A MENOS DE 65 AÑOS","                                                                                                    ",NA,NA,NA
"6886",5,48,5117400000002,2,11,740,0,"URREGO AREVALO FRANCISCA                                                                            ","MUJERES",36.4301369863014,"DE 30 A MENOS DE 45 AÑOS","SALAZAR CASTILLO MARIA GRIMANEZA ISABEL                                                             ","MUJERES",46.0819672131148,"DE 45 A MENOS DE 65 AÑOS","                                                                                                    ",NA,NA,NA
"6887",3,3,3090000000014,2,9,0,0,"ESPINOZA DE LOS MONTEROS MITE ELENA AURORA                                                          ","MUJERES",31.9972602739726,"DE 30 A MENOS DE 45 AÑOS","SALAZAR CASTRO SARAY NOEMI                                                                          ","MUJERES",37.3808219178082,"DE 30 A MENOS DE 45 AÑOS","                                                                                                    ",NA,NA,NA
