"","DIGNIDAD_CODIGO","OP_CODIGO","CANDIDATO_CODIGO","CANDIDATO_ORDEN","CANDIDATO_PROVINCIA_CODIGO","CANDIDATO_CANTON_CODIGO","CANDIDATO_PARROQUIA_CODIGO","CANDIDATO_NOMBRE","CANDIDATO_SEXO","CANDIDATO_EDAD_EXACTA","CANDIDATO_GRUPOS_DE_EDAD","SUPLENTE_NOMBRE","SUPLENTE_SEXO","SUPLENTE_EDAD_EXACTA","SUPLENTE_GRUPOS_DE_EDAD"
"1948",7,8,7170000000102,4,17,0,0,"BOLAÑOS NARANJO TERESA DEL NINO JESUS                                                              ","MUJERES",54.2109589041096,"DE 45 A MENOS DE 65 AÑOS","RAMIREZ RIVERA JUAN CARLOS                                                                          ","HOMBRES",27.0437158469945,"MENOS DE 30 AÑOS"
"1949",7,8,7170000000103,5,17,0,0,"CARVAJAL VERA CARLOS PATRICIO                                                                       ","HOMBRES",28.7041095890411,"MENOS DE 30 AÑOS","LOPEZ GARCIA MARCIA GUADALUPE                                                                       ","MUJERES",50.7978142076503,"DE 45 A MENOS DE 65 AÑOS"
"1950",7,8,7170000000104,6,17,0,0,"PAEZ GRANJA RUTH ENRIQUETA                                                                          ","MUJERES",56.1424657534247,"DE 45 A MENOS DE 65 AÑOS","PAZMIÑO PUMA LUIS GALO                                                                             ","HOMBRES",42.896174863388,"DE 30 A MENOS DE 45 AÑOS"
"1951",7,8,7170000000105,7,17,0,0,"CHUSIN VEGA JOSE MANUEL                                                                             ","HOMBRES",37.7123287671233,"DE 30 A MENOS DE 45 AÑOS","MOLINA JACOME EVA DOLORES                                                                           ","MUJERES",45.6904109589041,"DE 45 A MENOS DE 65 AÑOS"
"1952",7,8,7170000000106,8,17,0,0,"MARTINEZ GONZALEZ SONIA LUPE                                                                        ","MUJERES",41.7506849315068,"DE 30 A MENOS DE 45 AÑOS","CARCELEN CARRANZA ALBERTO EUSEBIO                                                                   ","HOMBRES",51.7917808219178,"DE 45 A MENOS DE 65 AÑOS"
"1953",7,8,7170000000107,9,17,0,0,"SANCHEZ RAZA VICTOR ALEXIS                                                                          ","HOMBRES",37.4328767123288,"DE 30 A MENOS DE 45 AÑOS","CHICAIZA TANDAYAMO MARIANA ISABEL                                                                   ","MUJERES",50.1561643835616,"DE 45 A MENOS DE 65 AÑOS"
"1954",7,8,7170000000108,10,17,0,0,"PEÑAFIEL RODRIGUEZ SABINA MARICELA                                                                 ","MUJERES",46.8825136612022,"DE 45 A MENOS DE 65 AÑOS","TANDAZO LAPO MARCO ALBERTO                                                                          ","HOMBRES",52.3835616438356,"DE 45 A MENOS DE 65 AÑOS"
"1955",7,8,7170000000109,11,17,0,0,"ANDOCILLA ROJAS XAVIER ALEJANDRO                                                                    ","HOMBRES",22.4520547945205,"MENOS DE 30 AÑOS","CALVACHI GANCHALA SILVIA JEANNETH                                                                   ","MUJERES",34.6547945205479,"DE 30 A MENOS DE 45 AÑOS"
"1956",7,8,7170000000110,12,17,0,0,"SISALIMA CUENCA BEIRUT REBECA                                                                       ","MUJERES",33.3671232876712,"DE 30 A MENOS DE 45 AÑOS","PEREZ PORTERO LUIS CARLOS ENRIQUE                                                                   ","HOMBRES",59.0819672131148,"DE 45 A MENOS DE 65 AÑOS"
"1957",7,8,7170000000111,13,17,0,0,"ESTRELLA ALVAREZ LUIS ABELARDO                                                                      ","HOMBRES",64.2602739726027,"DE 45 A MENOS DE 65 AÑOS","PULLAS MORENO DANIELA PAULINA                                                                       ","MUJERES",22.1890410958904,"MENOS DE 30 AÑOS"
"1958",7,8,7170000000112,14,17,0,0,"ESPINOSA LEON FRANCISCA CECILIA                                                                     ","MUJERES",36.9890410958904,"DE 30 A MENOS DE 45 AÑOS","PAUCAR QUINGA CRISTIAN SAUL                                                                         ","HOMBRES",24.2356164383562,"MENOS DE 30 AÑOS"
"1959",7,9,7170000000113,1,17,0,0,"QUINTERO LOPEZ RAFAEL BERNARDINO                                                                    ","HOMBRES",62.9153005464481,"DE 45 A MENOS DE 65 AÑOS","ORTEGA MENDOZA EMMA ARGENTINA                                                                       ","MUJERES",57.2849315068493,"DE 45 A MENOS DE 65 AÑOS"
"1960",7,9,7170000000114,2,17,0,0,"BERNAL REYES OLGA ESPERANZA                                                                         ","MUJERES",53.1068493150685,"DE 45 A MENOS DE 65 AÑOS","ALCOCER LUIS HERIBERTO                                                                              ","HOMBRES",43.8876712328767,"DE 30 A MENOS DE 45 AÑOS"
"1961",7,9,7170000000115,3,17,0,0,"CENTENO VARGAS ANGEL MARIA                                                                          ","HOMBRES",64.8082191780822,"DE 45 A MENOS DE 65 AÑOS","ALDAS FREIRE ESMERALDA NARCISA                                                                      ","MUJERES",31.972602739726,"DE 30 A MENOS DE 45 AÑOS"
"1962",7,9,7170000000116,4,17,0,0,"CHICAIZA FARINANGO MARIANA YOLANDA                                                                  ","MUJERES",39.1256830601093,"DE 30 A MENOS DE 45 AÑOS","VACA GARRIDO JHONY PATRICIO                                                                         ","HOMBRES",38.8825136612022,"DE 30 A MENOS DE 45 AÑOS"
"1963",7,9,7170000000117,5,17,0,0,"NAVARRO SOLIS DUSHAN ANTONIO                                                                        ","HOMBRES",30.4493150684931,"DE 30 A MENOS DE 45 AÑOS","SERRANO FLORES ALEXANDRA PATRICIA                                                                   ","MUJERES",25.7616438356164,"MENOS DE 30 AÑOS"
"1964",7,9,7170000000118,6,17,0,0,"ARELLANO VILLA NALDA MARCELA                                                                        ","MUJERES",34.3972602739726,"DE 30 A MENOS DE 45 AÑOS","GALARRAGA BASTIDAS JUAN MANUEL                                                                      ","HOMBRES",29.6520547945205,"MENOS DE 30 AÑOS"
"1965",7,9,7170000000119,7,17,0,0,"GUAYA SIVISAPA ANGEL LEONARDO                                                                       ","HOMBRES",36.9835616438356,"DE 30 A MENOS DE 45 AÑOS","SARANGO  CAMACHO MARIELA                                                                            ","MUJERES",55.0437158469945,"DE 45 A MENOS DE 65 AÑOS"
"1966",7,9,7170000000120,8,17,0,0,"GUERRA RODRIGUEZ ELSA GENOVEVA                                                                      ","MUJERES",20.4356164383562,"MENOS DE 30 AÑOS","RODAS COLOMA GERMAN ALEJANDRO                                                                       ","HOMBRES",23.6338797814208,"MENOS DE 30 AÑOS"
"1967",7,9,7170000000121,9,17,0,0,"BEDOYA ALMEIDA CELSO EULOGIO                                                                        ","HOMBRES",59.1639344262295,"DE 45 A MENOS DE 65 AÑOS","CAMPI ORTEGA MARIA ELIZABETH                                                                        ","MUJERES",25.9123287671233,"MENOS DE 30 AÑOS"
"1968",7,9,7170000000122,10,17,0,0,"ENDARA CHANGO GABRIELA ELIZABETH                                                                    ","MUJERES",22.0547945205479,"MENOS DE 30 AÑOS","PALACIOS PEREZ JAIME XAVIER                                                                         ","HOMBRES",29.4054794520548,"MENOS DE 30 AÑOS"
"1969",7,9,7170000000123,11,17,0,0,"TOHAZA GUTIERREZ EDGAR IVAN                                                                         ","HOMBRES",54.5315068493151,"DE 45 A MENOS DE 65 AÑOS","RACINES PAREDES ANDREA MAGDALENA                                                                    ","MUJERES",22.8551912568306,"MENOS DE 30 AÑOS"
"1970",7,9,7170000000124,12,17,0,0,"SALVADOR ZAMBRANO NARCISA GABRIELA                                                                  ","MUJERES",23.9041095890411,"MENOS DE 30 AÑOS","BASANTES VIZUETE ARMANDO RAUL                                                                       ","HOMBRES",47.8657534246575,"DE 45 A MENOS DE 65 AÑOS"
"1971",7,9,7170000000125,13,17,0,0,"CARPIO BERMEO RAFAEL ORLANDO                                                                        ","HOMBRES",44.0821917808219,"DE 30 A MENOS DE 45 AÑOS","FERIA GRANDA VICTORIA ANGELICA                                                                      ","MUJERES",20.6082191780822,"MENOS DE 30 AÑOS"
"1972",7,9,7170000000126,14,17,0,0,"DIAZ CORAL MARIA ESPERANZA                                                                          ","MUJERES",34.2876712328767,"DE 30 A MENOS DE 45 AÑOS","PASTOR PAZMIÑO CARLOS ANDRES                                                                       ","HOMBRES",20.6109589041096,"MENOS DE 30 AÑOS"
"1973",7,13,7170000000127,1,17,0,0,"ZEVALLOS CELI FABIAN FRANCISCO                                                                      ","HOMBRES",49.9287671232877,"DE 45 A MENOS DE 65 AÑOS","VILLAVICENCIO VALENCIA GLADIZ ALECZANDRA                                                            ","MUJERES",39.9095890410959,"DE 30 A MENOS DE 45 AÑOS"
"1974",7,13,7170000000128,2,17,0,0,"TITUAÑA LUJE MARLENE                                                                               ","MUJERES",45.8602739726027,"DE 45 A MENOS DE 65 AÑOS","MUÑOZ SUAREZ JORGE MAXIMINO                                                                        ","HOMBRES",55.8904109589041,"DE 45 A MENOS DE 65 AÑOS"
"1975",7,13,7170000000129,3,17,0,0,"PROAÑO GALARZA ENRIQUE MIGUEL                                                                      ","HOMBRES",63.2622950819672,"DE 45 A MENOS DE 65 AÑOS","NARANJO IZURIETA SILVANA ALEXANDRA                                                                  ","MUJERES",36.2630136986301,"DE 30 A MENOS DE 45 AÑOS"
"1976",7,13,7170000000130,4,17,0,0,"GONZALEZ ESPINOSA PAULINA ANDREA                                                                    ","MUJERES",35.9698630136986,"DE 30 A MENOS DE 45 AÑOS","ARROYO RAMOS CARLOS ANIBAL                                                                          ","HOMBRES",45.9095890410959,"DE 45 A MENOS DE 65 AÑOS"
"1977",7,13,7170000000131,5,17,0,0,"PEREZ BAUS FABIAN LENIN                                                                             ","HOMBRES",45.6904109589041,"DE 45 A MENOS DE 65 AÑOS","CERVANTES POLO ANA LUISA                                                                            ","MUJERES",47.8794520547945,"DE 45 A MENOS DE 65 AÑOS"
"1978",7,13,7170000000132,6,17,0,0,"RUILOVA MALDONADO ANGELICA FEDELICIA                                                                ","MUJERES",52.8739726027397,"DE 45 A MENOS DE 65 AÑOS","DIAZ LUIS EDUARDO                                                                                   ","HOMBRES",43.2486338797814,"DE 30 A MENOS DE 45 AÑOS"
"1979",7,13,7170000000133,7,17,0,0,"SANCHEZ PONCE WILLIANS MAURICIO                                                                     ","HOMBRES",44.8493150684931,"DE 30 A MENOS DE 45 AÑOS","CERVANTES POLO NANCY LEONOR                                                                         ","MUJERES",41.958904109589,"DE 30 A MENOS DE 45 AÑOS"
