"","OP_CODIGO","OP_PROVINCIA_CODIGO","OP_CANTON_CODIGO","OP_PARROQUIA_CODIGO","OP_TIPO","OP_AMBITO","OP_NOMBRE","OP_SIGLAS","OP_LISTA"
"105",100000000203,10,0,0,"ALIANZAS                                          ","ALIANZA                                           ","UNIDAD IMBABUREÑA                                                                                                                                                                                      ","PSC/AN                                            ","6-14      "
"106",100350000042,10,35,0,"MOVIMIENTOS CANTONALES                            ","CANTONAL                                          ","MOVIMIENTO INDEPENDIENTE ECUADOR RUMIÑAHUI                                                                                                                                                             ","MIER                                              ","42        "
"107",100500000041,10,50,0,"MOVIMIENTOS CANTONALES                            ","CANTONAL                                          ","MOVIMIENTO INDEDPENDIENTE TIERRA NUESTRA                                                                                                                                                                ","M-TNT                                             ","41        "
"108",100500000204,10,50,0,"ALIANZAS                                          ","ALIANZA                                           ","UNIDAD CANTONAL                                                                                                                                                                                         ","DP-UDC/PSC/AN                                     ","5-6-14    "
"109",110000000042,11,0,0,"MOVIMIENTOS PROVINCIALES                          ","PROVINCIAL                                        ","MOVIMIENTO DE INTEGRACION REGIONAL ECUATORIANO                                                                                                                                                          ","MIRE                                              ","42        "
"110",110000000201,11,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA IZQUIERDA DEMOCRATICA / MOVIMIENTO DE INTEGRACION REGIONAL ECUATORIANO                                                                                                                          ","ID/MIRE                                           ","12-42     "
"111",113100000202,11,310,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA MOVIMIENTO POPULAR DEMOCRATICO/SOCIALISTA-FRENTE AMPLIO                                                                                                                                         ","MPD /PS-FA MPD /PS-FA                             ","15-17     "
"112",113110000203,11,311,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA MOVIMIENTO POPULAR DEMOCRATICO/ SOCIALISTA-FRENTE AMPLIO                                                                                                                                        ","MPD /PS-FA                                        ","15-17     "
"113",113150000204,11,315,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA SOCIEDAD PATRIOTICA 21 DE ENERO/MOVIMIENTO POPULAR DEMOCRATICO/SOCIALISTA FRENTE AMPLIO                                                                                                         ","PSP/MPD /PS-FA                                    ","3-15-17   "
"114",113250000205,11,325,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA LIBERAL RADICAL ECUATORIANO/CONCENTRACION DE FUERZAS POPULARES                                                                                                                                  ","PLRE/CFP                                          ","2-4       "
"115",113250000206,11,325,0,"ALIANZAS                                          ","ALIANZA                                           "," ALIANZA MOVIMIENTO POPULAR DEMOCRATICO/SOCIALISTA FRENTE AMPLIO                                                                                                                                        ","MPD /PS-FA                                        ","15-17     "
"116",113300000207,11,330,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA MOVIMIENTO POPULAR DEMOCRATICO/SOCIALISTA FRENTE AMPLIO/SOCIEDAD PATRIOTICA 21 DE ENERO                                                                                                         ","MPD/PS-FA/PSP                                     ","15-17-3   "
"117",113350000208,11,335,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA MOVIMIENTO POPULAR DEMOCRATICO /SOCIALISTA- FRENTE AMPLIO                                                                                                                                       ","MPD /PS-FA                                        ","15-17     "
"118",113400000209,11,340,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA MOVIMIENTO POPULAR DEMOCRATICO/SOCIALISTA-FRENTE AMPLIO                                                                                                                                         ","MPD /PS-FA                                        ","15-17     "
"119",113450000210,11,345,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA MOVIMIENTO POPULAR DEMOCRATICO/SOCIALISTA - FRENTE AMPLIO                                                                                                                                       ","MPD /PS-FA                                        ","15-17     "
"120",117300000211,11,730,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA MOVIMIENTO POPULAR DEMOCRATICO/SOCIEDAD PATRIOTICA 21 DE ENERO                                                                                                                                  ","MPD/PSP                                           ","15-3      "
"121",117400000043,11,740,0,"MOVIMIENTOS CANTONALES                            ","CANTONAL                                          ","FRENTE DE ACCION Y DESARROLLO QUILANGUENSE                                                                                                                                                              ","FADQ                                              ","43        "
"122",118150000212,11,815,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA MOVIMIENTO POPULAR DEMOCRATICO/SOCIALISTA FRENTE AMPLIO                                                                                                                                         ","MPD /PS-FA                                        ","15-17     "
"123",120000000201,12,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA SOCIEDAD PATRIOTICA 21 DE ENERO / MOVIMIENTO POPULAR DEMOCRATICO                                                                                                                                ","PSP/MPD                                           ","3-15      "
"124",120000000202,12,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA SOCIEDAD PATRIOTICA -MPD-PACHAKUTIK                                                                                                                                                             ","PSP/MPD /MUPP-NP                                  ","3-15-18   "
"125",120000000203,12,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA MPD-SOCIEDAD PATRIOTICA-UNIDAD PLURINACIONAL                                                                                                                                                    ","MPD /PSP/MUPP-NP                                  ","15-3-18   "
